Provincia,Región
Aguascalientes,Centronorte
Baja California Sur,Noroeste
Baja California Norte,Noroeste
Campeche,Sureste
Chiapas,Suroeste
Chihuahua,Noroeste
Coahuila,Noreste
Colima,Oeste
Distrito Federal,Centrosur
Durango,Noroeste
Edo. de México,Centrosur
Guanajuato,Centronorte
Guerrero,Suroeste
Hidalgo,Este
Jalisco,Oeste
Michoacán,Oeste
Morelos,Centrosur
Nayarit,Oeste
Nuevo León,Noreste
Oaxaca,Suroeste
Puebla,Este
Querétaro,Centronorte
Quintana Roo,Sureste
San luis Potosí,Centronorte
Sinaloa,Noroeste
Sonora,Noroeste
Tabasco,Sureste
Tamaulipas,Noreste
Tlaxcala,Este
Veracruz,Este
Yucatán,Sureste
Zacatecas,Centronorte
